TERM_CODE,CRN,PART_TERM,NO_STUDENTS,AVG_MARK,MARK_100_80,MARK_79_70,MARK_69_60,MARK_59_50,MARK_49_40,MARK_39_25,MARK_24_0,ASSESS_EXAM,ASSESS_CRSE,ASSESS_OTHER
201213,10280,S2,14, 66.07,    .00,  35.71,  42.86,  21.43,    .00,    .00,    .00, 100.00,    .00,    .00
201213,10284,S1,25, 73.32,    .00,  88.00,  12.00,    .00,    .00,    .00,    .00,  90.00,    .00,  10.00
201213,10293,1,38, 63.63,    .00,  26.32,  60.53,   7.89,   2.63,    .00,   2.63, 100.00,    .00,    .00
201213,10304,S1,22, 69.36,   9.09,  31.82,  54.55,   4.55,    .00,    .00,    .00, 100.00,    .00,    .00
201213,10305,S2,17, 64.82,   5.88,   5.88,  82.35,    .00,    .00,    .00,   5.88,  70.00,    .00,  30.00
201213,10316,S1,5, 65.20,    .00,  40.00,  40.00,  20.00,    .00,    .00,    .00, 100.00,    .00,    .00
201213,10317,S2,6, 63.50,    .00,    .00, 100.00,    .00,    .00,    .00,    .00,  85.00,    .00,  15.00
201213,10318,S2,5, 65.20,    .00,  20.00,  80.00,    .00,    .00,    .00,    .00, 100.00,    .00,    .00
201213,10320,S1,13, 65.00,    .00,  15.38,  84.62,    .00,    .00,    .00,    .00, 100.00,    .00,    .00
201213,10325,S1,10, 59.60,    .00,    .00,  70.00,  20.00,    .00,  10.00,    .00, 100.00,    .00,    .00
201213,10351,S1,6, 68.33,  16.67,  33.33,  16.67,  33.33,    .00,    .00,    .00,    .00,    .00, 100.00
201213,10362,S2,62, 70.56,   8.06,  50.00,  37.10,   4.84,    .00,    .00,    .00,    .00,    .00, 100.00
201213,10364,S2,120, 60.13,    .83,  12.50,  45.00,  32.50,   8.33,    .83,    .00,    .00,  75.00,  25.00
201213,10365,S1,72, 62.17,   4.17,  20.83,  38.89,  25.00,   6.94,   4.17,    .00,  20.00,  70.00,  10.00
201213,10366,S2,66, 51.83,   1.52,   6.06,  19.70,  28.79,  27.27,  15.15,   1.52,    .00,  70.00,  30.00
