TERM_CODE,CRN,PART_TERM,NO_STUDENTS,AVG_MARK,MARK_100_80,MARK_79_70,MARK_69_60,MARK_59_50,MARK_49_40,MARK_39_25,MARK_24_0,ASSESS_EXAM,ASSESS_CRSE,ASSESS_OTHER
201314,23128,S1,43,  62.70,    .00,  11.63,  79.07,   4.65,    .00,   2.33,   2.33,  40.00,  60.00,    .00
201314,23129,S1,34,  61.32,    .00,  11.76,  61.76,  23.53,    .00,    .00,   2.94,  25.00,  75.00,    .00
201314,23136,S1,34,  59.44,    .00,  20.59,  41.18,  17.65,  11.76,   5.88,   2.94,  50.00,  50.00,    .00
201314,23139,S1,86,  47.13,   4.65,   8.14,  11.63,  24.42,  26.74,   9.30,  15.12, 100.00,    .00,    .00
201314,23149,S1,32,  63.53,    .00,   3.13,  81.25,  15.63,    .00,    .00,    .00,  40.00,  60.00,    .00
201314,23150,S1,58,  62.79,    .00,  20.69,  55.17,  15.52,   1.72,   5.17,   1.72,  50.00,  50.00,    .00
201314,23151,S1,26,  62.19,    .00,  11.54,  65.38,  19.23,   3.85,    .00,    .00,  50.00,  50.00,    .00
201314,23157,S1,104,  59.38,    .96,   9.62,  45.19,  33.65,   9.62,    .00,    .96,  80.00,  20.00,    .00
201314,23158,S1,41,  61.95,   2.44,  29.27,  34.15,  24.39,   7.32,    .00,   2.44, 100.00,    .00,    .00
201314,23162,S1,74,  56.59,    .00,   2.70,  48.65,  31.08,  13.51,    .00,   4.05, 100.00,    .00,    .00
201314,23183,S1,37,  63.84,    .00,   5.41,  86.49,   8.11,    .00,    .00,    .00,    .00,  70.00,  30.00
201314,23198,S1,1,  44.00,    .00,    .00,    .00,    .00, 100.00,    .00,    .00,  80.00,  20.00,    .00
201314,23216,S1,75,  53.33,    .00,   5.33,  44.00,  26.67,   8.00,   4.00,  12.00,  60.00,  40.00,    .00
201314,23267,1,1,  32.00,    .00,    .00,    .00,    .00,    .00, 100.00,    .00,    .00, 100.00,    .00
